pcrplate_with_cooler,gradientPCRlividansoutputPlate,,,
A1,righthomologyarm1kb,dna,20,ul
B1,righthomologyarm1kb,dna,20,ul
C1,righthomologyarm1kb,dna,20,ul
D1,righthomologyarm1kb,dna,20,ul
E1,righthomologyarm1kb,dna,20,ul
F1,righthomologyarm1kb,dna,20,ul
G1,righthomologyarm1kb,dna,20,ul
H1,righthomologyarm1kb,dna,20,ul
A2,righthomologyarm2.5kbA,dna,20,ul
B2,righthomologyarm2.5kbA,dna,20,ul
C2,righthomologyarm2.5kbA,dna,20,ul
D2,righthomologyarm2.5kbA,dna,20,ul
E2,righthomologyarm2.5kbA,dna,20,ul
F2,righthomologyarm2.5kbA,dna,20,ul
G2,righthomologyarm2.5kbA,dna,20,ul
H2,righthomologyarm2.5kbA,dna,20,ul
A3,righthomologyarm2.5kbB,dna,20,ul
B3,righthomologyarm2.5kbB,dna,20,ul
C3,righthomologyarm2.5kbB,dna,20,ul
D3,righthomologyarm2.5kbB,dna,20,ul
E3,righthomologyarm2.5kbB,dna,20,ul
F3,righthomologyarm2.5kbB,dna,20,ul
G3,righthomologyarm2.5kbB,dna,20,ul
H3,righthomologyarm2.5kbB,dna,20,ul
A4,righthomologyarm3kb,dna,20,ul
B4,righthomologyarm3kb,dna,20,ul
C4,righthomologyarm3kb,dna,20,ul
D4,righthomologyarm3kb,dna,20,ul
E4,righthomologyarm3kb,dna,20,ul
F4,righthomologyarm3kb,dna,20,ul
G4,righthomologyarm3kb,dna,20,ul
H4,righthomologyarm3kb,dna,20,ul
A5,lefthomologyarm1kb,dna,20,ul
B5,lefthomologyarm1kb,dna,20,ul
C5,lefthomologyarm1kb,dna,20,ul
D5,lefthomologyarm1kb,dna,20,ul
E5,lefthomologyarm1kb,dna,20,ul
F5,lefthomologyarm1kb,dna,20,ul
G5,lefthomologyarm1kb,dna,20,ul
H5,lefthomologyarm1kb,dna,20,ul
A6,lefthomologyarm2.5kbA,dna,20,ul
B6,lefthomologyarm2.5kbA,dna,20,ul
C6,lefthomologyarm2.5kbA,dna,20,ul
D6,lefthomologyarm2.5kbA,dna,20,ul
E6,lefthomologyarm2.5kbA,dna,20,ul
F6,lefthomologyarm2.5kbA,dna,20,ul
G6,lefthomologyarm2.5kbA,dna,20,ul
H6,lefthomologyarm2.5kbA,dna,20,ul
A7,lefthomologyarm2.5kbB,dna,20,ul
B7,lefthomologyarm2.5kbB,dna,20,ul
C7,lefthomologyarm2.5kbB,dna,20,ul
D7,lefthomologyarm2.5kbB,dna,20,ul
E7,lefthomologyarm2.5kbB,dna,20,ul
F7,lefthomologyarm2.5kbB,dna,20,ul
G7,lefthomologyarm2.5kbB,dna,20,ul
H7,lefthomologyarm2.5kbB,dna,20,ul
A8,lefthomologyarm3kb,dna,20,ul
B8,lefthomologyarm3kb,dna,20,ul
C8,lefthomologyarm3kb,dna,20,ul
D8,lefthomologyarm3kb,dna,20,ul
E8,lefthomologyarm3kb,dna,20,ul
F8,lefthomologyarm3kb,dna,20,ul
G8,lefthomologyarm3kb,dna,20,ul
H8,lefthomologyarm3kb,dna,20,ul
